"id","name","category","city","latitude","longitude","ticket_price","opening_hours","last_updated"
"1172","Wasbeer","attraction","amsterdam","52.3659069","4.916691",,,"2025-09-05 09:12:25.10337"
"1173","Grootoorvos","attraction","amsterdam","52.3661088","4.9166816",,,"2025-09-05 09:12:25.10337"
"1174","Laaglandtapir, reuzenmiereneter, capibara, grote mara, kuifhoenderkoet","attraction","amsterdam","52.3659855","4.9146759",,,"2025-09-05 09:12:25.10337"
"1175","Chileense flamingo","attraction","amsterdam","52.3660568","4.9140872",,,"2025-09-05 09:12:25.10337"
"1176","Witstaartstekelvarken","attraction","amsterdam","52.3665158","4.9155477",,,"2025-09-05 09:12:25.10337"
"1177","Aziatische olifant","attraction","amsterdam","52.366743","4.9168123",,,"2025-09-05 09:12:25.10337"
"1178","Anoa","attraction","amsterdam","52.3657849","4.9177591",,,"2025-09-05 09:12:25.10337"
"1179","Gierenvolière","attraction","amsterdam","52.3658769","4.918415",,,"2025-09-05 09:12:25.10337"
"1180","Netgiraffe, Grévy zebra, Grote Koedoe","attraction","amsterdam","52.3664195","4.9180529",,,"2025-09-05 09:12:25.10337"
"1181","Bennettwallaby","attraction","amsterdam","52.3657927","4.918934",,,"2025-09-05 09:12:25.10337"
"1182","Chimpansee","attraction","amsterdam","52.3651717","4.9183267",,,"2025-09-05 09:12:25.10337"
"1183","Hudson Bay wolf","attraction","amsterdam","52.3654369","4.9176545",,,"2025-09-05 09:12:25.10337"
"1184","Leeuw","attraction","amsterdam","52.3661911","4.9194838",,,"2025-09-05 09:12:25.10337"
"1185","Afrikaanse pinguïn","attraction","amsterdam","52.3647412","4.9182319",,,"2025-09-05 09:12:25.10337"
"1186","Vicuña","attraction","amsterdam","52.3649529","4.9186282",,,"2025-09-05 09:12:25.10337"
"1187","Struisvogel","attraction","amsterdam","52.3647408","4.9190815",,,"2025-09-05 09:12:25.10337"
"1188","Helmkasuaris","attraction","amsterdam","52.3654573","4.9197768",,,"2025-09-05 09:12:25.10337"
"1189","Californische zeeleeuw","attraction","amsterdam","52.365278","4.9200357",,,"2025-09-05 09:12:25.10337"
"1190","Mandril","attraction","amsterdam","52.3650913","4.9198097",,,"2025-09-05 09:12:25.10337"
"1191","Aldabra reuzenschildpad","attraction","amsterdam","52.3654608","4.9189487",,,"2025-09-05 09:12:25.10337"
"1192","Westelijke laaglandgorilla","attraction","amsterdam","52.3652248","4.9191914",,,"2025-09-05 09:12:25.10337"
"1193","Japanse kraanvogel, kleine zilverreiger","attraction","amsterdam","52.3664122","4.9166266",,,"2025-09-05 09:12:25.10337"
"1194","Alpensteenbok","attraction","amsterdam","52.3664806","4.9149898",,,"2025-09-05 09:12:25.10337"
"1195","Best Bench in Town","attraction","amsterdam","52.3746554","4.8799816",,,"2025-09-05 09:12:25.10337"
"1196","Oudemanhuispoort","attraction","amsterdam","52.3692586","4.8963723",,,"2025-09-05 09:12:25.10337"
"1197","Warmoesstraat","attraction","amsterdam","52.3753252","4.8982269",,,"2025-09-05 09:12:25.10337"
"1198","Egelantiersgracht","attraction","amsterdam","52.3765366","4.8846833",,,"2025-09-05 09:12:25.10337"
"1199","Hollandsche Manege","attraction","amsterdam","52.3612839","4.8718724",,,"2025-09-05 09:12:25.10337"
"1200","Spui","attraction","amsterdam","52.3687861","4.889851",,,"2025-09-05 09:12:25.10337"
"1201","Begijnhof","attraction","amsterdam","52.3694385","4.8900683",,,"2025-09-05 09:12:25.10337"
"1202","Hortus Botanicus","attraction","amsterdam","52.3666407","4.9077753",,,"2025-09-05 09:12:25.10337"
"1203","Vlinderkas","attraction","amsterdam","52.3667423","4.9078513",,,"2025-09-05 09:12:25.10337"
"1204","Unknown-33739094","attraction","amsterdam","52.3818195","4.8891006",,,"2025-09-05 09:12:25.10337"
"1205","Waag","attraction","amsterdam","52.3727728","4.9003161",,,"2025-09-05 09:12:25.10337"
"1206","Beurs van Berlage","attraction","amsterdam","52.375045","4.8962774",,,"2025-09-05 09:12:25.10337"
"1207","Schreierstoren","attraction","amsterdam","52.3763584","4.902238",,,"2025-09-05 09:12:25.10337"
"1208","Molen van Sloten","attraction","amsterdam","52.3415976","4.7922697",,,"2025-09-05 09:12:25.10337"
"1209","Portugese Synagoge","attraction","amsterdam","52.3675391","4.9053431",,,"2025-09-05 09:12:25.10337"
"1210","Munttoren","attraction","amsterdam","52.3670594","4.8932212",,,"2025-09-05 09:12:25.10337"
"1211","Haarlemmermeerstation","attraction","amsterdam","52.3493423","4.8566854",,,"2025-09-05 09:12:25.10337"
"1212","Scheepvaarthuis","attraction","amsterdam","52.3743175","4.9041337",,,"2025-09-05 09:12:25.10337"
"1213","Drie-klimaten-kas","attraction","amsterdam","52.366824","4.9068805",,,"2025-09-05 09:12:25.10337"
"1214","Montelbaanstoren","attraction","amsterdam","52.3720391","4.9056582",,,"2025-09-05 09:12:25.10337"
"1215","De Hallen","attraction","amsterdam","52.3670494","4.8681607",,,"2025-09-05 09:12:25.10337"
"1216","Dam","attraction","amsterdam","52.3731226","4.8926093",,,"2025-09-05 09:12:25.10337"
"1217","Westertoren","attraction","amsterdam","52.3745301","4.8835346",,,"2025-09-05 09:12:25.10337"
"1218","Westerkerk","attraction","amsterdam","52.3745627","4.8839192",,,"2025-09-05 09:12:25.10337"
"1219","Zuiderkerk","attraction","amsterdam","52.3702929","4.8997483",,,"2025-09-05 09:12:25.10337"
"1220","Bloemenmarkt","attraction","amsterdam","52.3669538","4.8914048",,,"2025-09-05 09:12:25.10337"
"1221","Unknown-174993841","attraction","amsterdam","52.3702148","4.8905994",,,"2025-09-05 09:12:25.10337"
"1222","Het Huis met den Hoofden","attraction","amsterdam","52.376382","4.8874563",,,"2025-09-05 09:12:25.10337"
"1223","De Gouden Spiegel en De Silveren Spiegel","attraction","amsterdam","52.3776987","4.8939364",,,"2025-09-05 09:12:25.10337"
"1224","de Wallen","attraction","amsterdam","52.3734589","4.8981942",,,"2025-09-05 09:12:25.10337"
"1225","Fo Guang Shan He Hua Tempel","attraction","amsterdam","52.3737263","4.900075",,,"2025-09-05 09:12:25.10337"
"1226","West-Indisch Pakhuis","attraction","amsterdam","52.3721754","4.9080713",,,"2025-09-05 09:12:25.10337"
"1227","House of Bols","attraction","amsterdam","52.3591019","4.8812443",,,"2025-09-05 09:12:25.10337"
"1228","Doolhof Amstelpark","attraction","amsterdam","52.3330679","4.8916882",,,"2025-09-05 09:12:25.10337"
"1229","Amsterdam","attraction","amsterdam","52.3723427","4.9142314",,,"2025-09-05 09:12:25.10337"
"1230","Pythonbrug","attraction","amsterdam","52.3730096","4.9488943",,,"2025-09-05 09:12:25.10337"
"1231","Trompetterssteeg","attraction","amsterdam","52.3737406","4.8977063",,,"2025-09-05 09:12:25.10337"
"1232","Chinatown","attraction","amsterdam","52.3732755","4.900603",,,"2025-09-05 09:12:25.10337"
"1233","Magere Brug","attraction","amsterdam","52.3635809","4.9023579",,,"2025-09-05 09:12:25.10337"
"1236","Postzegelmarkt","attraction","amsterdam","52.3711449","4.8904387",,,"2025-09-05 09:12:25.10337"
"1237","Kleine-Gartmanplantsoen","attraction","amsterdam","52.3632735","4.8834385",,,"2025-09-05 09:12:25.10337"
"1238","Leidseplein","attraction","amsterdam","52.3639683","4.8823304",,,"2025-09-05 09:12:25.10337"
"1247","Koninklijk Paleis","attraction","amsterdam","52.3731449","4.891336",,,"2025-09-05 09:12:25.10337"
"1249","Unknown-3584292","attraction","amsterdam","52.3719407","4.8983148",,,"2025-09-05 09:12:25.10337"
"1250","Koninklijk Instituut voor de Tropen","attraction","amsterdam","52.3625447","4.9216235",,,"2025-09-05 09:12:25.10337"
